Name,Hash,Meter,BPM,Total stream,Stream density
SRPG6 NNP/[27] [340] Still Blastin',ef7feda1c1415fcd55845b857bdd866dd2f2eff4,27,340.0,32.0,1.0
SRPG6 NNP/[28] [350] Inferno Unleashed,73216ed85d7d8b193eea2cdfd31fc9a2ce4fdfea,28,350.0,32.0,1.0
SRPG6 NNP/[29] [360] Super Luminal,fad340b525265a22cf3d104322fa1fcf8e0beb83,29,360.0,32.0,1.0
Stamina RPG 7/[11] [129] 4h30,ef9ef1a76f12fd0b0dbbc3aa7d52e69c9ddff66c,11,129.0,23.0,0.4107142857142857
Stamina RPG 7/[11] [142] Ain't Nothin' Like a Funky Beat (Medium),0bb0d914f37bf54dcb32050f4975a8a1a16a8953,11,142.0,40.0,0.40816326530612246
Stamina RPG 7/[11] [123] Celestial,56a73d1d42cad5ea6a42e3fe4bb12bf6054f2d79,11,123.0,40.0,0.7272727272727273
Stamina RPG 7/[11] [146] Crystallized Silver,61e3502b96f676f9868c7e424b139a2cfaabcc5e,11,146.0,34.0,0.4788732394366197
Stamina RPG 7/[11] [130] Don't Trust Me,59ceca21e4b5ec4d5e4bf2e29e89f17f03009a98,11,130.0,51.0,0.5795454545454546
Stamina RPG 7/[11] [148] INSPION (Medium),3d708640447b61c295e332875b0ed09ead006221,11,148.0,22.0,0.2391304347826087
Stamina RPG 7/[11] [132] Karma,af034c2b4c258d75bb636385e7dbfb55ddc7e011,11,132.0,37.0,0.7872340425531915
Stamina RPG 7/[11] [132] Malas Decisiones,1dabf7c6aa0e46704bf21e4a072b73fbbe6de3c7,11,132.0,42.0,0.8235294117647058
Stamina RPG 7/[11] [128] Norinori Coupon,11159e1a92f8b8dd0310a0f3855559cf8463624a,11,128.0,40.0,0.7843137254901961
Stamina RPG 7/[11] [144] Something Comforting,470445aa08f0484d7ba9a9b625e36a21ce4ca36f,11,144.0,35.0,0.44871794871794873
Stamina RPG 7/[11] [139] TRY UNITE! (Hard),f21be516ee31fc36aded90551b49ee5b079a1748,11,139.0,55.0,0.39568345323741005
Stamina RPG 7/[11] [120] Worship,2cebbcc36f35b5d8c96d2eea55bbb3cc54391c36,11,120.0,40.0,0.8333333333333334
Stamina RPG 7/[12] [134] Astral tale,b8c0a467a2bcec2d9666daaf4bdd903c94410aad,12,134.0,63.0,0.8076923076923077
Stamina RPG 7/[12] [128] Colorless Eyes,4408d7c3cb4c99ab8d8a467a2202eb61ea4800e2,12,128.0,90.0,0.7086614173228346
Stamina RPG 7/[12] [120] Dancin,5656661372033d62d0a0e25d3e9bb63e977d8b07,12,120.0,108.0,0.9642857142857143
Stamina RPG 7/[12] [155] Drivin',29081a9a2e3d7a46f737d6b8c3c2efdb4b938b95,12,155.005,40.0,0.7407407407407407
Stamina RPG 7/[12] [150] Energize (Bazooka 200X Official Bootleg Mix),c73925288046df5b2677ea522f28e81379d756e9,12,150.0,61.0,0.8243243243243243
Stamina RPG 7/[12] [172] Feel Like Horrible (Hard),a2e767556fe10ab03637919c13c6aee82248bd3a,12,172.0,34.0,0.4146341463414634
Stamina RPG 7/[12] [150] FIRST PROMIZE,a4bb85978dba8dfcebffe566a2dc82d87f36132f,12,150.0,30.0,0.8571428571428571
Stamina RPG 7/[12] [160] Ghost,0a18e588bd0387919f3f5468577db6b7fcdc776c,12,160.0,39.0,0.4936708860759494
Stamina RPG 7/[12] [166] Goddess,efde4d2bd1e338db528c8d00174470c1ff8d8341,12,165.778,36.0,0.43902439024390244
Stamina RPG 7/[12] [162] Gold Rush (Medium),d3cf88e216abaa912ff59cceabd82db140e15d1c,12,162.0,36.0,0.6428571428571429
Stamina RPG 7/[12] [140] Guardian,e7691417f5f95b6f413901b789b26f85ada38f13,12,140.0,50.0,0.6097560975609756
Stamina RPG 7/[12] [170] lancer from deltarune raps,4b5f117a3f1c472ec7058dd51bacdb55a18300c3,12,170.0,21.0,0.7
Stamina RPG 7/[12] [147] Last Battle -T260G-,dc573f8802d8ddb31f5234dd28071fa4881cf327,12,147.0,47.0,0.8392857142857143
Stamina RPG 7/[12] [138] Mind Echoes,9ccbc77160f1d98ca1b65396bafee1d16099505f,12,138.0,102.0,0.5964912280701754
Stamina RPG 7/[12] [150] Purple Lamborghini,0f66372a21ec8e737c3c809eb0d1bd50bb096d2f,12,150.0,44.0,0.5569620253164557
Stamina RPG 7/[12] [145] Raspberry Cube,00162dd2e85b98cc6dddc3ae5561f8f8e74aa791,12,145.0,87.0,0.75
Stamina RPG 7/[12] [150] Robot Rockerz,de0051dacd3be0d0042847aa20fda11b72a1c3b6,12,150.0,46.0,0.71875
Stamina RPG 7/[12] [150] Samurai Blue,b7f206071d45f10bb78f10e3d21ca3f410603bbb,12,150.0,74.0,0.6016260162601627
Stamina RPG 7/[12] [140] Sense 2007,b4b9ec90b0a652a17cea694b09d7c33b5282bb16,12,140.0,59.0,0.921875
Stamina RPG 7/[12] [127] Stars Align,3cdc9ec4ba8dcf4cf2aa6ec54c7f94b015afd9d4,12,127.0,83.0,0.6535433070866141
Stamina RPG 7/[12] [170] Stay (Hard),e8453a098d6391b541494d68991ef2757123e145,12,170.0,24.0,0.42857142857142855
Stamina RPG 7/[12] [138] Telephone,91112f98b83c4929b6e35c71f91f0ff507e721ed,12,138.0,59.0,0.6210526315789474
Stamina RPG 7/[12] [165] Tri Poloski (Hard),9eb36e41de370346d026b17026f4c7b2d9f25299,12,165.0,20.0,0.7692307692307693
Stamina RPG 7/[12] [137] Wakuwaku meets Trip,15e03196dd13f53e3f41c99d0f806c8822977cec,12,137.0,113.0,0.8308823529411765
Stamina RPG 7/[13] [185] AMAZING MIGHTYYYY!!!! (Medium),c42f1fbc8c5f6d76847ab6d0d9f6380f51ae25a7,13,185.0,33.0,0.4342105263157895
Stamina RPG 7/[13] [148] Because of You,9eb02c29ecf4bfe529c92b0601048615a2068c71,13,147.925,76.0,0.7524752475247525
